{SIL} {SIL}
<UNK> <UNK>
{NOISE} {NOISE}
{COUGH} {COUGH}
{BREATH} {BREATH}
癃 L ONG2
敦 D UN1
巿 F U2
蒯 K UAI3
亠 T OU2
敏 M IN3
脑 N AO3
索 S UO3
袈 J IA1
潼 T ONG2
襄 X IANG1
觧 J IE3
楂 CH A2
踞 J V4
挺 T ING3
銤 M I3
霜 SH UANG1
吨 D UN1
淠 P I4
皪 L I4
苻 F U2
耠 H UO1
合 H E2
涧 J IAN4
夔 K UI2
完 UU UAN2
壆 B O2
刻 K E4
剤 J I4
帷 UU UI2
煦 X V4
棍 G UN4
菠 B O1
湎 M IAN3
扣 K OU4
醌 K UN1
死 S IY3
哀 AA AI1
失 SH IX1
消 X IAO1
怦 P ENG1
驳 B O2
糕 G AO1
瞌 K E1
纯 CH UN2
径 J ING4
虻 M ENG2
杵 CH U3
狲 S UN1
蚣 G ONG1
唔 UU U2
媚 M EI4
吱 ZH IX1
钧 J VN1
跸 B I4
荤 H UN1
炔 G UI4
扶 F U2
谶 CH EN4
赍 J I1
侧 C E4
佳 J IA1
溟 M ING2
亘 G EN4
冉 R AN3
锕 AA A1
捅 T ONG3
鞋 X IE2
庾 VV V3
篪 CH IX2
彗 H UI4
慨 K AI3
市 SH IX4
簑 S UO1
谢 X IE4
羞 X IU1
褰 Q IAN1
律 L V4
鹛 M EI2
罒 UU UANG3
鹉 UU U3
钉 D ING1
曈 T ONG2
捺 N A4
哦 OO O4
赃 Z ANG1
复 F U4
呖 L I4
瑁 M AO4
緖 X V4
拯 ZH ENG3
斩 ZH AN3
檫 CH A2
娴 X IAN2
啵 B O1
掷 ZH IX4
喙 H UI4
瞿 Q V2
蹂 R OU2
衾 Q IN1
辙 CH E4
乔 Q IAO2
儹 Z AN3
鏚 Q I1
閒 J IAN1
蚈 Q IAN1
酗 X V4
疮 CH UANG1
瘖 II IN1
津 J IN1
亟 J I2
液 II IE4
叶 II IE4
自 Z IY4
连 L IAN2
玈 L U2
蹇 J IAN3
G J I4
蚜 II IA2
敛 L IAN3
芥 G AI4
撸 L U1
蓼 L IAO3
席 X I2
禛 ZH EN1
缄 J IAN1
嗟 J IE1
柿 SH IX4
产 CH AN3
蜢 M ENG3
莅 L I4
浯 UU U2
夊 S UI1
籀 ZH OU4
迈 M AI4
倨 J V4
莹 II ING2
瘪 B IE3
迹 J I4
饨 T UN2
骝 L IU2
硅 G UI1
湉 T IAN2
囗 UU UI2
礅 D UN1
镜 J ING4
瞠 CH ENG1
兜 D OU1
举 J V3
殛 J I2
黔 Q IAN2
厚 H OU4
荠 J I4
蜕 T UI4
称 CH ENG1
氏 SH IX4
恘 Q IU1
喘 CH UAN3
衣 II I1
阽 D IAN4
蓱 P ING2
乘 CH ENG2
怵 CH U4
縁 VV VAN2
棂 L ING2
